Standing screen display size,Screen Resolution,Max Screen Resolution,Brand,Item model number,Item Weight,Unit,Item Weight in Kg,Length(In),Width(In),Height(In),Item Dimensions  LxWxH,Color,Manufacturer,ASIN,Country of Origin,Date First Available,Price,Series,Is Discontinued By Manufacturer,Voltage,RAM,Processor Count,Computer Memory Type,Department,Customer Reviews,Power Source,Package Dimensions,Best Sellers Rank,Assembled Height,Assembled Length,Assembled Width,Style,Material,Number of Lights,Special Features,Shade Material,Switch Style,Switch Installation Type,Batteries Included?,Batteries Required?,Type of Bulb,Luminous Flux,Wattage,Processor,Memory Speed,Hard Drive,Graphics Coprocessor,Chipset Brand,Graphics Card Ram Size,Wireless Type,Hardware Platform,Operating System,Rear Webcam Resolution,Processor Brand,Flash Memory Size,Hard Drive Interface,Number of USB 2.0 Ports,Number of USB 3.0 Ports,Batteries,Material Type,Size,Manufacturer Part Number,Average Battery Life (in hours),Language,Number of Items,Other display features,Colour,Card Description,Hard Drive Rotational Speed,National Stock Number,Ink Color,Brand Name,Color Name,Device interface - primary,Included Components,Total Recycled Content Percentage,Post-Consumer Recycled Content Percentage,Part Number,Item Package Quantity,Battery Cell Type,Display Type,Warranty,Optical Drive Type,Scanner Resolution,Connectivity technologies,Domestic Shipping,International Shipping,Display Style,Usage,Warranty Description
27 Inches,,1920 x 1080 Pixels,Philips Computer Monitors,271E1S,12.67,pounds,5.7015,,,,,Black,Philips Computer Monitors,B08FJK6283,China,20-Nov-20,$219.99 ,271E1S,,,,,,,,,26 x 20 x 5 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5 Inches,,2560 x 1440 Pixels,LG,32QN600-B,21.2,pounds,9.54,28.1,8.2,20.2,28.1 x 8.2 x 20.2 inches,Black,LG,B088YN9LBK,China,1-May-20,$279.99 ,32QN600-B,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,2.7,pounds,1.215,12.44,1.02,8.46,,,AE TRI-SCREEN DISPLAY,B092VVZ5T8,,,$500.00 ,,,,,,,,,,,26-May-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,8.5,ounces,0.17,20.94,11.77,0.02,,,JSTT,B097R6T719,,,$48.88 ,,,,,,,,,,,23-Jun-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,,3840 x 2160 Pixels,SAMSUNG,LS32A700NWNXZA,13.44,pounds,6.048,7.62,28.19,20.41,7.62 x 28.19 x 20.41 inches,Black,Samsung,B08V6MNW9P,Mexico,7-Mar-21,$349.99 ,Samsung S70A Monitor,,110 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30 Inches,2560x1080,2560 x 1080,Sceptre,C305W-2560UN,10.7,pounds,4.815,27.83,16.11,9.18,27.83 x 16.11 x 9.18 inches,Blue,Sceptre,B07XZNXWGS,China,17-Sep-19,$247.97 ,Sceptre 30-Inch 21: 9 Curved Creative Monitor C305W-2560UN 2560x1080p Ultra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,,1920 x 1080 Pixels,ASUS,VG328H1B,15.48,pounds,6.966,27.94,19.97,8.42,27.94 x 19.97 x 8.42 inches,BLACK,Asus,B087V5RLFB,China,29-Apr-20,$289.99 ,VG328H1B,,,,,,Womens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31.5 Inches,1920 x 1080,1920 x 1080 Pixels,LG,32ML600M-B,6.6,pounds,2.97,28.7,8.2,20.2,28.7 x 8.2 x 20.2 inches,Black,LG,B07PDHSVSW,China,1-Mar-19,$249.99 ,32ML600M-B,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920x1080,1920 x 1080 Pixels,Sceptre,C248B-1858RN,7.14,pounds,3.213,21.21,16.21,8.37,21.21 x 16.21 x 8.37 inches,Machine Black,Sceptre,B08HPJ1Z35,China,1-Sep-20,$209.96 ,,,12 Volts (DC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080p,1920 x 1080 Pixels,Sceptre,E279W-19203RD,8.8,pounds,3.96,24.56,18,8.27,24.56 x 18 x 8.27 inches,Black,e-Sceptre,B078HSKBG3,China,1-Dec-17,$169.38 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,HMDBY,,2.65,pounds,1.1925,6.2,2.9,16,,White&warm,HMDBY,B08PFLYPW2,,,$39.99 ,,,5 Volts (DC),,,,,2-Dec-20,Corded Electric,,,16 inches,6.2 inches,2.9 inches,现代,Acrylonitrile Butadiene Styrene,30,Adjustable,Acrylonitrile Butadiene Styrene,Touch,Desk Mount,No,No,LED,420 Lumen,12 watts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920x1080,1920 x 1080 Pixels,Sceptre,E248W-FPT,6,pounds,2.7,21.25,7.03,15.53,21.25 x 7.03 x 15.53 inches,Machine Black,Sceptre,B087QRW81Z,China,1-May-20,$151.94 ,E248W-FPT,,120 Volts (AC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,,3840 x 2160 Pixels,LG,32UL500-W,13.64,pounds,6.138,28.7,8.2,20.4,28.7 x 8.2 x 20.4 inches,Silve/White,LG,B088G1PKKN,China,1-May-20,$296.99 ,32UL500-W,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440 Pixels,Sceptre,E275B-QPT168,11,pounds,4.95,24.37,18.17,8.64,24.37 x 18.17 x 8.64 inches,BLACK,Sceptre,B095J68CKG,China,20-May-21,$234.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080,1920 x 1080 Pixels,ASUS,VG278QR,12.35,pounds,5.5575,24.37,14.8,8.31,24.37 x 14.8 x 8.31 inches,Black,Asus,B07XV1519W,China,12-Sep-19,$248.00 ,VG278QR,,110240 Volts,,,,,,Corded Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34 Inches,,3440 x 1440 Pixels,LG,34WN80C-B,23.3,pounds,10.485,32.7,9.9,16.9,32.7 x 9.9 x 16.9 inches,Black,LG,B07YGZ7C1K,,1-Sep-19,$686.99 ,34WN80C-B,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Inches,,,ILooker,MH01-20E-Black,1.1,pounds,0.495,20.07,1.57,7.09,20.07 x 1.57 x 7.09 inches,Black,iLooker,B01G1590FS,,23-May-16,$49.90 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,3.69,pounds,1.6605,,,,,,LANDZO,B08T5SZYQN,,,$188.99 ,,,,,,,,15-Jan-21,,17.28 x 11.1 x 3.19 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,1920 x 1080,1920*1200,CHUWI,Herobox,3.1,pounds,1.395,7.36,5.43,1.46,7.36 x 5.43 x 1.46 inches,Carbon Black,,B082VZP76P,,,$199.00 ,Herobox,,,8 GB DDR4,4,DDR3 SDRAM,,18-Dec-19,DC,,,,,,,,,,,,,,,,,,2.7 GHz celeron,2.4 GHz,256 GB mechanical_hard_drive,"Intel® UHD Graphics 600 Gen9 12EU, 700MHz",Intel,8,"5 GHz Radio Frequency, 2.4 GHz Radio Frequency",PC,Windows 10 Home,400 Lines Per Inch,Intel,1 TB,ATA133,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,LC27F398FHNXZA,China,,#VALUE!,24.52,9.55,18.35,,,24-Apr-16,B01CX26WIG,,,$199.99 ,,Samsung,,,,,,No,,,9.03 pounds,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Inches,1920x1080,1080p Full HD Pixels,Sceptre,E229W-19203RT,5.5,pounds,2.475,19.93,15.09,7.02,19.93 x 15.09 x 7.02 inches,Machine Black,Sceptre,B078HQH2B2,China,19-Dec-17,$142.07 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,ASUS,VL249HE,8.82,pounds,3.969,21.33,15.55,8.2,21.33 x 15.55 x 8.2 inches,BLACK,Asus,B08LCPNPNG,China,16-Dec-20,$139.99 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,32GN550-B,15.9,pounds,7.155,28.1,11.5,23.6,,,LG,B08X6QYPQ3,,,$249.99 ,,,,,,,,23-Jul-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MH01-27E-Black,1.76,pounds,0.792,26.38,1.57,9.06,,,iLooker,B01G15982S,,,$84.90 ,,,,,,,,No,,,23-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,IX156UC 4K,4.12,pounds,1.854,14.29,8.78,0.24,,,"Cinotop Electronics Co., Ltd",B08XQSSZHM,China,,$299.00 ,,1-Mar-21,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,,1920 x 1080 Pixels,Acer,R240HY bidx,6.4,pounds,2.88,21.3,7.3,16,21.3 x 7.3 x 16 inches,Black,Acer,B0148NNKTC,,6-Sep-15,$207.50 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,SAMSUNG,LC27R500FHNXZA,13.12,pounds,5.904,18.35,24.18,9.89,18.35 x 24.18 x 9.89 inches,Black,Samsung,B07RNMNWSY,China,1-Jun-19,$199.99 ,LC27R500FHNXZA,,110 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.6 Inches,1920 x 1080,1920 x 1080 Pixels,Acer,KG241Q Pbiip,9.2,pounds,4.14,22.32,9.13,17.23,22.32 x 9.13 x 17.23 inches,Black,Acer,B07MG85X1M,China,10-Feb-19,$179.99 ,KG241Q Pbiip,,120 Volts,,,,,,Corded Electric,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080 Pixels,Acer,KB272HL bix,14.92,pounds,6.714,24.17,9.8,17.74,24.17 x 9.8 x 17.74 inches,Black,Acer,B07QPBXVBQ,,26-May-19,$223.49 ,KB272HL bix,,120 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,LG,24M47VQ,6.2,pounds,2.79,21.9,7.8,17.2,21.9 x 7.8 x 17.2 inches,Black,LG,B00W95RR32,China,9-Apr-15,$149.99 ,,No,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,FHD 1080p,1920 x 1080 Pixels,ViewSonic,VX3276-mhd,13.6,pounds,6.12,19.84,9.06,28.07,19.84 x 9.06 x 28.07 inches,Black/Silver,ViewSonic,B0787WGCXT,China,1-Jul-18,$279.99 ,VX3276-mhd,No,120 Volts,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MDS-7B06,2.27,pounds,1.0215,7.09,4.33,1.57,,,EVICIV,B08L6KCHGS,China,,$119.99 ,,,,,,,,No,,,14-Oct-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900H,11.4,ounces,0.228,3.25,9.5,1,3.25 x 9.5 x 1 inches,,Plugable,B07BFJSYFM,,13-Mar-18,$99.00 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,3840 x 2160,3840 x 2160 Pixels,LG,27UL500-W,11.24,pounds,5.058,24.5,8.2,18.1,24.5 x 8.2 x 18.1 inches,White,LG,B07PGL2WVS,China,1-Mar-19,$299.99 ,27UL500-W,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,1920 x 1080,1920 x 1080 Pixels,HP,M27ha,11.49,pounds,5.1705,8.33,20.05,24.41,8.33 x 20.05 x 24.41 inches,Black,Hewlett Packard,B08DJB7VVY,,6-Sep-20,$349.00 ,22H94AA#ABA,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,E275W-FPT,7.1,pounds,3.195,24.12,7.03,17.12,,,Sceptre,B089BTLL9K,China,,$177.89 ,,,,,,,,25-May-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,2560 x 1440 Pixels,SAMSUNG,LS24A600NWNXGO,10.8,pounds,4.86,1.6,21.4,12.9,1.6 x 21.4 x 12.9 inches,Black,Samsung,B08YGVZRBD,Mexico,19-Apr-21,$270.12 ,LS24A600NWNXGO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,1.85,pounds,0.8325,14.02,8.8,0.3,,,Cyrret,B09BFWJ1W3,,,$199.99 ,,,,,,,,,,,29-Jul-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Plugable,UD-3900,0.32,ounces,0.0064,6.45,3.22,4.02,6.45 x 3.22 x 4.02 inches,Black,Plugable Technologies,B00ECDM78E,,15-Aug-13,$99.00 ,,No,,,,,,,DC,,,,,,,,,,,,,,,,,,,,,,,,,PC,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,7.83,pounds,3.5235,17.24,11.42,0.67,,,Prechen,B0863881T1,,,$102.99 ,,,,,,,,19-Mar-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32 Inches,2560 x 1440,2560 x 1440 Pixels,LG,32GN650-B,15.9,pounds,7.155,28.1,11.5,19.3,28.1 x 11.5 x 19.3 inches,Black,LG,B08LLF9NS1,China,15-Oct-20,$396.93 ,32GN650-B,,,,,,,,AC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920 x 1080,1920X1080 Pixels,Sceptre,E248B-FPT168S,6.17,pounds,2.7765,21.21,15.75,5.95,21.21 x 15.75 x 5.95 inches,Black,Sceptre,B097QK6W46,China,22-Jun-21,$219.97 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.8 Inches,1920 x 1080 pixels,1920 x 1080 Pixels,ASUS,VA24EHE,10,pounds,4.5,21.28,15.89,8.03,21.28 x 15.89 x 8.03 inches,Black,Asus,B07Z8TC28F,,17-Oct-19,$209.00 ,VA24EHE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,MH01-27S-Black,1.85,pounds,0.8325,26.38,1.57,9.06,,,iLooker,B01G15979W,,,$84.90 ,,,,,,,,No,,,23-May-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,,ILooker,MH01-24P-Black,1.54,pounds,0.693,22.44,1.57,8.27,22.44 x 1.57 x 8.27 inches,Black,iLooker,B01G16LC4E,,23-May-16,$69.90 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,SAMSUNG,LS24R350FHNXZA,10,pounds,4.5,9.3,21.24,16.74,9.3 x 21.24 x 16.74 inches,Dark Blue Gray,Samsung,B07Y2QPG3B,China,20-Oct-19,$169.99 ,"Samsung 24"" FHD Monitor with Bezel-LESS Design - LS24R350FHNXZA",,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.5 Inches,,1920 x 1080 Pixels,SAMSUNG,LC24F396FHNXZA,6.8,pounds,3.06,8.61,21.56,16.68,8.61 x 21.56 x 16.68 inches,Black,Samsung,B079K3MXWF,China,27-Feb-18,$179.99 ,LC24F396FHNXZA,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,LG,24MP88HV-S,7.1,pounds,3.195,21.3,7.3,16.3,21.3 x 7.3 x 16.3 inches,Black,LG,B01BX3FCJG,China,1-Feb-16,$199.99 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,2560 x 1440 Pixels,LG,27GL83A-B,18.46,pounds,8.307,10.8,24.2,22.6,10.8 x 24.2 x 22.6 inches,Black,LG,B07YGZL8XF,China,1-Sep-19,$369.99 ,LG 27GL83A-B 27 Inch Ultragear QHD IPS 1ms NVIDIA G-SYNC Compatible Gaming,,110240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21.5 Inches,,1920 x 1080 Pixels,ASUS,VP229HE,6.39,pounds,2.8755,19.29,14.29,7.83,19.29 x 14.29 x 7.83 inches,BLACK,Asus,B08CYGSF9M,,22-Sep-20,$199.77 ,,,100240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,EU22E,1.1,pounds,0.495,,,,,,iLooker,B07DKD92ZB,,,$54.90 ,,,,,,,,No,,20.47 x 7.48 x 1.57 inches,10-May-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Inches,,,ILooker,CA25P,1.76,pounds,0.792,22.6,8.5,1.5,22.6 x 8.5 x 1.5 inches,Black,iLooker,B01G1596CU,,23-May-16,$74.90 ,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920x1080,1920 x 1080 Pixels,Sceptre,E248B-FPT168,6.1,pounds,2.745,21.26,15.53,5.45,21.26 x 15.53 x 5.45 inches,Machine Black,Sceptre,B088VMY23M,China,20-May-20,$199.97 ,,,120 Volts (AC),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27 Inches,,1920 x 1080,Acer,R271Q Bbix,8.05,pounds,3.6225,24.4,8.8,17.9,24.4 x 8.8 x 17.9 inches,Black,Acer,B082411MFS,China,9-Jun-20,$189.99 ,R271Q Bbix,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,,1920 x 1080 Pixels,ASUS,VG248QG,11.5,pounds,5.175,22.09,8.31,14.13,22.09 x 8.31 x 14.13 inches,Black,Asus,B07TNM8L6S,China,26-Jun-19,$199.99 ,VG248QG,No,240 Volts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1 Lithium Polymer batteries required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Inches,1920 x 1080,1920 x 1080 Pixels,Samsung Business,F22T452FQN,7.7,pounds,3.465,19.2,8.3,12.8,19.2 x 8.3 x 12.8 inches,Black,Samsung,B08CM6JKYT,,4-Jul-20,$269.99 ,F22T452FQN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24 Inches,1920x1080,1920 x 1080 Pixels,AOC,C24G1A,6.48,pounds,2.916,,,,,Black,AOC International,B08D3Y5PFZ,,15-Sep-20,$207.99 ,G Series,,,,,,,,,23.6 x 20 x 6.8 inches,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
